ticker,market_cap,Class
BTC/USD,168717487841.0,1
ETH/USD,26102873413.0,1
USDT/USD,9194532030.0,2
XRP/USD,8576460271.0,1
BCH/USD,4142723454.0,1
ADA/USD,3264729528.0,1
LINK/USD,2980096660.0,1
LTC/USD,2735351662.0,1
EOS/USD,2341700324.0,1
XTZ/USD,2308659583.0,1
XLM/USD,1975519302.0,1
XMR/USD,1186233411.0,1
ATOM/USD,751606414.0,1
ETC/USD,701951890.0,1
DASH/USD,667953155.0,1
ZEC/USD,566132787.0,1
BAT/USD,387996354.0,1
DOGE/USD,369531670.0,1
QTUM/USD,222061200.0,1
REP/USD,211744083.0,1
ICX/USD,211476272.0,1
OMG/USD,207621552.0,1
DAI/USD,200247413.0,0
LSK/USD,146157881.0,1
SC/USD,139413612.0,1
WAVES/USD,139228897.0,1
NANO/USD,131738056.0,1
PAXG/USD,43791238.0,0
GNO/USD,29084690.0,1
